  199.082     99.8796
  190.813     90.0393
  176.304     75.0357
  162.014     61.9001
  147.601     50.6309
  132.266     41.9245
  120.447     36.2683
  110.444     32.0209
  98.048     27.9957
  87.354     25.3787
  76.315     23.4602
  64.7055     21.7724
  50.4657     22.406
  44.5389     23.3119
  40.2013     25.392
  35.3962     30.037
  31.8287     37.9551
  30.5381     46.1171
  29.8115     55.4487
  29.6565     64.3161
  30.2836     76.4545
  31.9293     89.9978
  34.3614     105.879
  38.0431     122.465
  42.5167     140.223
  49.9644     155.193
  57.7722     166.198
  68.1974     177.682
  79.7679     187.771
  92.0327     195.53
  99.3034     199.531
  199.078     199.063
