  140.932     59.5394
  153.377     71.5709
  162.867     82.6448
  172.576     95.1254
  178.419     106.642
  181.201     116.03
  182.591     129.154
  181.584     142.965
  174.969     160.717
  166.123     171.662
  152.045     181.634
  141.533     186.478
  131.155     188.513
  116.925     187.476
  103.502     185.04
  93.5076     180.989
  85.3416     176.013
  77.4098     170.102
  70.6186     163.966
  62.817     155.714
  55.4968     143.718
  49.4441     129.624
  44.8849     113.667
  42.2602     97.957
  40.2001     82.9539
  39.7539     65.1518
  40.9216     44.5507
  44.055     36.1416
  49.0937     32.1957
  54.5717     30.5948
  61.0716     29.4695
  69.9517     30.0003
  77.4619     30.9898
  85.6523     32.4526
  93.1512     35.0814
  102.022     37.0173
  111.226     40.1265
  119.509     44.6345
  131.078     51.5075
