0, 225, 250, 0, 0, 0, 0,
480, 480, 670, 0, 0, 0, 0,
340, 0, 450, 610, 0, 490, 0,
500, 0, 620, 970, 0, 600, 0,
430, 0, 650, 1060, 350, 650, 0,
430, 720, 870, 1200, 550, 790, 0,
450, 720, 870, 1200, 0, 670, 0,
390, 0, 770, 1100, 0, 670, 0,
320, 0, 320, 480, 0, 380, 480,
450, 0, 450, 700, 0, 520, 900,
540, 0, 500, 800, 0, 580, 980,
430, 450, 750, 560, 580, 950, 720,
340, 0, 460, 530, 0, 580, 700,
0, 620, 970, 0, 0, 0, 0,
720, 870, 1200, 0, 0, 0, 0,
450, 650, 0, 0, 0, 0, 0,
720, 770, 0, 0, 0, 0, 0,
0, 550, 0, 550, 0, 0, 0,
540, 770, 540, 770, 0, 0, 0,
0, 550, 0, 550, 0, 0, 0,
700, 800, 600, 0, 0, 0, 0,
340, 0, 460, 530, 0, 580, 700,
700, 800, 600, 0, 0, 0, 0,
1400, 1600, 1520, 0, 0, 0, 0,
580, 0, 0, 0, 0, 0, 0,
1000, 0, 0, 0, 0, 0, 0,
670, 600, 0, 0, 0, 0, 0,
0, 500, 0, 0, 0, 0, 0,
